"Calendar Year","Quarter","Quarter Month from","Quarter Month to","County code","County","Permit Date","Permits: Incorporated Cities","Permits: Outside Incorporated Cities","Permits: Allocated Countywide","Total Permits","Taxable Transactions: Incorporated Cities","Taxable Transactions: Outside Incorporated Cities","Taxable Transactions: Unallocated","Total Taxable Transactions","Yearly Percentage Change (%)","Per Capita"
"2014","Q2","4","6","57","Yolo","7/1/2014","3564","555","","4119","770981289","82202812","119445470","972629571","1.84","4670.57"
"2014","Q2","4","6","58","Yuba","7/1/2014","416","829","","1245","45893388","63123259","19930607","128947254","0.97","1749.86"
"2014","Q2","4","6","59","Statewide","7/1/2014","","","","6050","","","94063225","94063225","4.38",""
"2014","Q2","4","6","6","Colusa","7/1/2014","344","233","","577","43937357","52692835","9808672","106438864","-2.49","4886.32"
"2014","Q2","4","6","7","Contra Costa","7/1/2014","18881","2669","","21550","3026869373","226525382","484880076","3738274831","3.81","3432.06"
"2014","Q2","4","6","8","Del Norte","7/1/2014","251","282","","533","25403996","20360737","18610257","64374990","7.34","2294.92"
"2014","Q2","4","6","9","El Dorado","7/1/2014","1644","4330","","5974","162846290","244098645","74754656","481699591","4.51","2628.11"
"2014","Q2","4","6","","TOTAL","7/1/2014","865273","132484","","1003807","124768982264","12921893588","17079709959","154770585811","5.6",""
"2014","Q1","1","3","1","Alameda","1/1/2014","38533","2024","","40557","5412316392","172292411","896163649","6480772452","7.34","4116.09"
"2014","Q1","1","3","10","Fresno","1/1/2014","15190","2874","","18064","2383933879","317744941","378238438","3079917258","6.2","3197"
"2014","Q1","1","3","11","Glenn","1/1/2014","505","304","","809","47931952","16551934","15334682","79818568","11.44","2781.71"
"2014","Q1","1","3","12","Humboldt","1/1/2014","2753","1822","","4575","276714828","90462615","47809694","414987137","2.03","3078.76"
"2014","Q1","1","3","13","Imperial","1/1/2014","2782","425","","3207","439772991","183276998","71539198","694589187","-22.63","3837.55"
"2014","Q1","1","3","14","Inyo","1/1/2014","388","341","","729","34127272","21484526","10464236","66076034","-10.85","3549.8"
"2014","Q1","1","3","15","Kern","1/1/2014","10870","5350","","16220","2102780558","1075405116","459265036","3637450710","2.66","4187.66"
"2014","Q1","1","3","16","Kings","1/1/2014","1692","366","","2058","249031555","42153660","46645490","337830705","2.43","2253.07"
"2014","Q1","1","3","17","Lake","1/1/2014","577","1161","","1738","54797145","47652065","20590594","123039804","1.1","1899.96"
"2014","Q1","1","3","18","Lassen","1/1/2014","308","320","","628","26203265","16247111","12185920","54636296","0.14","1688.02"
"2014","Q1","1","3","19","Los Angeles","1/1/2014","250233","15170","","265403","28973807006","1267683186","3862568631","34104058823","3.7","3391.8"
"2014","Q1","1","3","2","Alpine","1/1/2014","","77","","77","","4068980","3151363","7220343","-16.72","6435.24"
"2014","Q1","1","3","20","Madera","1/1/2014","1238","1495","","2733","180483712","108633047","54871951","343988710","5.85","2228.57"
"2014","Q1","1","3","21","Marin","1/1/2014","8571","1625","","10196","873282182","73094805","132404672","1078781659","3.8","4195.09"
"2014","Q1","1","3","22","Mariposa","1/1/2014","","650","","650","","26744550","4641529","31386079","2.38","1759.01"
"2014","Q1","1","3","23","Mendocino","1/1/2014","1534","2140","","3674","152471971","102969985","30578999","286020955","1.16","3227.68"
"2014","Q1","1","3","24","Merced","1/1/2014","2716","932","","3648","406861102","145091543","85668457","637621102","3.22","2410.05"
"2014","Q1","1","3","25","Modoc","1/1/2014","154","184","","338","8201376","2870500","7221157","18293033","-3.22","1929.44"
"2014","Q1","1","3","26","Mono","1/1/2014","410","217","","627","43581615","5378079","8536758","57496452","-8.14","3931.38"
"2014","Q1","1","3","27","Monterey","1/1/2014","7466","2927","","10393","1013500885","176997517","144694122","1335192524","4.04","3143.3"
"2014","Q1","1","3","28","Napa","1/1/2014","4030","1817","","5847","419443533","157664836","85160237","662268606","7.78","4761.98"
"2014","Q1","1","3","29","Nevada","1/1/2014","2114","2015","","4129","173465452","42685655","48371981","264523088","5.8","2704.09"
"2014","Q1","1","3","3","Amador","1/1/2014","657","690","","1347","26443487","52750698","12091485","91285670","2.04","2525.68"
"2014","Q1","1","3","30","Orange","1/1/2014","93656","2003","","95659","12263190238","171183066","1465063073","13899436377","4.65","4463.23"
"2014","Q1","1","3","31","Placer","1/1/2014","8128","3486","","11614","1353895747","280418636","177704777","1812019160","2.24","4941.71"
"2014","Q1","1","3","32","Plumas","1/1/2014","97","1080","","1177","3346429","19801076","13522919","36670424","2.62","1863.14"
"2014","Q1","1","3","33","Riverside","1/1/2014","42495","4625","","47120","6279820199","644329880","726648010","7650798089","5.88","3355.33"
"2014","Q1","1","3","34","Sacramento","1/1/2014","20886","10812","","31698","2718732123","1482383786","634082442","4835198351","3.84","3320.35"
"2014","Q1","1","3","35","San Benito","1/1/2014","890","370","","1260","73650587","26355449","19843479","119849515","2.91","2069.61"
"2014","Q1","1","3","36","San Bernardino","1/1/2014","41687","5194","","46881","6414054705","464663146","765178568","7643896419","5.22","3667.63"
"2014","Q1","1","3","37","San Diego","1/1/2014","74287","11196","","85483","10170903717","534619494","1413536868","12119060079","3.97","3796.15"
"2014","Q1","1","3","38","San Francisco","1/1/2014","28405","","","28405","4101487294","","","4101487294","8.14","4912.53"
"2014","Q1","1","3","39","San Joaquin","1/1/2014","10149","2478","","12627","1677555672","316539149","272396730","2266491551","4.01","3198.19"
"2014","Q1","1","3","4","Butte","1/1/2014","4668","1757","","6425","532509599","63658421","82876675","679044695","3.92","3046.39"
"2014","Q1","1","3","40","San Luis Obispo","1/1/2014","6411","3528","","9939","735948479","290155462","120433773","1146537714","-1.12","4200.46"
"2014","Q1","1","3","41","San Mateo","1/1/2014","18258","1702","","19960","2597078719","357252883","445314962","3399646564","3.81","4559.39"
"2014","Q1","1","3","42","Santa Barbara","1/1/2014","9888","2791","","12679","1159333370","138040420","185554039","1482927829","4.52","3412.87"
"2014","Q1","1","3","43","Santa Clara","1/1/2014","43740","1534","","45274","7428709101","87182883","1322089464","8837981448","2.87","4731.15"
"2014","Q1","1","3","44","Santa Cruz","1/1/2014","4657","3955","","8612","469561060","193462148","83459683","746482891","3.4","2771.71"
"2014","Q1","1","3","45","Shasta","1/1/2014","4383","2362","","6745","492966525","68022162","65257181","626245868","-1.45","3503.63"
"2014","Q1","1","3","46","Sierra","1/1/2014","22","96","","118","774141","691411","1736710","3202262","-3.95","1024.72"
"2014","Q1","1","3","47","Siskiyou","1/1/2014","1353","723","","2076","76675258","15426993","29120776","121223027","8.13","2675.35"
"2014","Q1","1","3","48","Solano","1/1/2014","7676","439","","8115","1305219937","31742923","181767004","1518729864","2.89","3572.06"
"2014","Q1","1","3","49","Sonoma","1/1/2014","11982","5806","","17788","1375220798","290989506","201174182","1867384486","6.68","3793.02"
"2014","Q1","1","3","5","Calaveras","1/1/2014","181","1311","","1492","13837767","40992950","13805226","68635943","-1.87","1506.26"
